case_name,country,province,location,infrastructure_type,supply_chain_role,link_to_eu,main_impacts,conflict_category,affected_groups,main_actors,status_standardized,evidence_quality,relevance_to_core_argument,article_use_recommendation,us_coast_bucket,lng_specificity,raw_link,notes
"Sidakarya-Bali LNG, Indonesia",Indonesia,Bali,Sidakarya,LNG terminal,Import / export terminal,Broader LNG / environmental justice context,"Biodiversity loss (wildlife, agro-diversity); Floods (river, coastal, mudflow); Noise pollution; Soil contamination; Soil erosion; Deforestation and loss of vegetation cover; Reduced ecological / hydrological connectivity; Loss of landscape/aesthetic degradation; Other environmental related diseases; Displacement | Loss of livelihood | Loss of traditional knowledge/practices/cultures | Land dispossession | Loss of landscape/sense of place",Water / pollution,Indigenous communities; Fishing and coastal communities; Local residents,Dewata Energi Bersih; PT Timah (Persero) TBK; PT PLN Batam; Perusda Bali; Dinas ESDM Provinsi Bali (Department of Energy and Mineral Resources of Bali) Dinas Lingkungan Hidup Provinsi Bali (Department of Environment of Bali) Bappeda Provinsi Bali (Bali Provincial Development Planning Agency) |,Under construction,strong,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/sidakarya-bali-lng-indonesia,No additional coding note.
"The Idku LNG Terminal, Egypt",Egypt,Beheira,Not specified clearly in live EJAtlas metadata.,LNG terminal,Export / extraction,Direct EU supply / contextual exporter,Air pollution; Global warming; Noise pollution; Loss of landscape/aesthetic degradation; Other environmental related diseases; Displacement | Loss of landscape/sense of place,Water / pollution,Fishing and coastal communities; Workers; Local residents; Farmers,"Royal Dutch Shell; Egyptian General Petroleum Corporation; Egyptian Natural Gas Holding Company; PETRONAS; TotalEnergies; Rashpetco; Green Valley; The World Bank; Ministry of Electricity and Renewable Energy (MOERE) Egypt Ministry of Petroleum and Mineral Resources (MOPMR) Egypt Tarek El Molla, Minister of Petroleum and Mineral Resources, Egypt Dr. Mohamed Shaker El-Markabi, Minister of Electricity and Renewable Energy, Egypt Dr. Rania Al-Mashat, Minister of International Cooperation, Egypt Robert Habeck, Federal Minister for Economic Affairs and Climate Action, Germany Jochen Flasbarth, State Secretary in the Federal Ministry for Economic Cooperation and Development, Germany Karine Elharrar, Minister of Energy, Israel European Commission President Ursula von der Leyen Egyptian President Abdel Fattah |",Operating,strong,contextual,Contextual case with direct EU relevance,,Direct LNG case,https://ejatlas.org/conflict/the-idku-lng-terminal-egypt,"Directly relevant to EU supply debates, but not included in the current core 26."
"Ruwais LNG Terminal in Al Ruwais Industrial City, Abu Dhabi, United Arab Emirates",United Arab Emirates,"Western Region, Abu Dhabi",Al Ruwais Inustrial Park,LNG terminal,Export / extraction,Indirect EU supply chain / context case,Air pollution; Global warming; Loss of landscape/aesthetic degradation; Accidents; Occupational disease and accidents; Deaths; Other Health impacts,Health / air pollution,Workers; Migrant workers,Abu Dhabi National Oil Company; Royal Dutch Shell; Mitsui & Co Ltd; British Petroleum; TotalEnergies,Planned,strong,core,Contextual case,,Direct LNG case,https://ejatlas.org/conflict/ruwais-lng-terminal-in-al-ruwais-industrial-city-abu-dhabi-united-arab-emirates,EJAtlas case is Abu Dhabi; article brief mentions Dubai.
"Alaska LNG Terminal, USA",United States,Alaska,Nikiski,LNG terminal,Export / extraction,Broader LNG / environmental justice context,"Air pollution; Biodiversity loss (wildlife, agro-diversity); Global warming; Loss of landscape/aesthetic degradation; Other environmental related diseases; Loss of livelihood | Loss of landscape/sense of place | Loss of traditional knowledge/practices/cultures",Water / pollution,Indigenous communities; Fishing and coastal communities; Local residents,Alaska Gasline Development Corp; U.S. Fish and Wildlife Service and National Marine Fisheries Service The Department of the Interior and Department of Commerce Alaska Department of Natural Resources Regulatory Commission of Alaska Alaska Industrial Development and Export Authority |,Planned,strong,contextual,Broader context only,Alaska,Direct LNG case,https://ejatlas.org/conflict/alaska-lng-terminal-usa,No additional coding note.
"Predator's 'Mag Mell'  LNG Floating Storage and Regasification Unit (FSRU), Cork, Ireland",Ireland,Munster,County Cork,FSRU,Import / regasification,Direct EU supply / importing infrastructure,"Air pollution; Global warming; Loss of landscape/aesthetic degradation; Other Environmental impacts; Exposure to unknown or uncertain complex risks (radiation, etc…); Other environmental related diseases; Other Health impacts; Loss of landscape/sense of place",Water / pollution,Local residents; Farmers,"Predator Oil & Gas Hldgs; Predator LNG Ireland; Ministry of Energy Ireland Department of the Environment Climate and Communications (DECC) Ireland Neasa Hourigan TD, a member of parliament for the Greens |",Planned,medium,core,Keep in core article,,Direct LNG case,https://ejatlas.org/conflict/33-predator-s-mag-mell-floating-lng-terminal-cork-ireland,No additional coding note.
"Kochi LNG (and LPG) Terminal and pipeline across Kerala and Tamil Nadu, India",India,Kerala,Kochi,Pipeline,Import / regasification,Broader LNG / environmental justice context,"Air pollution; Food insecurity (crop damage); Biodiversity loss (wildlife, agro-diversity); Deforestation and loss of vegetation cover; Other Environmental impacts; Exposure to unknown or uncertain complex risks (radiation, etc…); Mental problems including stress, depression and suicide; Lack of work security, labour absenteeism, firings, unemployment | Militarization and increased police presence | Land dispossession | Displacement | Loss of livelihood | Loss of traditional knowledge/practices/cultures | Loss of landscape/sense of place",Health / air pollution,Fishing and coastal communities; Workers; Local residents; Farmers,Oil and Natural Gas Corporation Limited; Bharat Petroleum Corporation Limited ; Gas Authority of India Limited; Indian Oil Corporation Limited,Operating,strong,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/lng-and-lpg-kochi-terminal-in-kerala-and-pipeline-across-kerala-and-tamil-nadu-india,No additional coding note.
"Block B Liquid Natural Gas (LNG) Project, Vietnam",Vietnam,Cà Mau,Cà Mau,Pipeline,Transit,Broader LNG / environmental justice context,"Global warming; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Large-scale disturbance of hydro and geological systems; Loss of landscape/aesthetic degradation; Increase in Corruption/Co-optation of different actors | Loss of livelihood | Land dispossession | Loss of landscape/sense of place",Coastal / marine,Local residents,"PetroVietnam Company; Mitsui & Co., Ltd; PTTEP; Vietnam Electricity; The World Bank; International Finance Corporation; Ministry of Industry and Trade (MOIT): Bộ Công Thương Department of Energy: Sở Năng Lượng |",Planned,medium,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/block-b-gas-project-vietnam,No additional coding note.
"LNG Boom in the Verde Island Passage, The Philippines",Philippines,Not specified clearly in live EJAtlas metadata.,Not specified clearly in live EJAtlas metadata.,LNG terminal,Import / regasification,Broader LNG / environmental justice context,"Biodiversity loss (wildlife, agro-diversity); Air pollution; Food insecurity (crop damage); Global warming; Noise pollution; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Loss of landscape/aesthetic degradation; Oil spills; Deforestation and loss of vegetation cover; Groundwater pollution or depletion; Other Health impacts; Displacement | Loss of livelihood | Land dispossession | Loss of traditional knowledge/practices/cultures | Violations of human rights | Loss of landscape/sense of place | Toxic air and water pollution Thermal pollution from seawater intake, resulting in disrupted reproductive cycles of marine life and less fish catch Potential freshwater shortages, with gas terminals and plants competing with locals for supply A massive increase in shipping activities Loss of flora and displacement of coastal communities",Water / pollution,Indigenous communities; Fishing and coastal communities; Local residents,"San Miguel Corporation; ATLANTIC GULF & PACIFIC COMPANY; Royal Dutch Shell; Energy World Corporation Limited; Tokyo Gas Co., Ltd; Excelerate Energy Inc; Top line Business Development Corporation; Lopez Holdings Corporation; First Philippine Holdings Corporation; First Gen Corporation; Gen X Energy Pte Ltd; Ayala Coporation; Enex Energy Corporation; Acen Corporation; Batangas Clean Energy Inc; Millennium Energy Inc; PanAsia Energy Inc; Manila Electric Company; Vires Energy; ING Bank NV; Standard Chartered Bank ; Deutsche Bank; JP Morgan Chase; HSBC Bank; Barclays ; UBS; DWS Groups; Allianz; Japan Bank for International Corporation (JBIC); Osaka Gas Co., Ltd.; I Squared Capital; BlackRock Financial Management Inc.; Credit Agricole; Schroder Investment Management; DBS Bank Ltd; Credit Suisse; China Banking Coporation; Mizuho Bank; Development Bank of the Philippines; A Brown Company Inc.; KKR & Co. Inc; Top Frontier Investment Holdings Inc; First Pacific Company Ltd; Department of Energy Philippines Department of Environment and Natural Resources |",Under construction,medium,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/lng-boom-in-the-verde-island-passage,No additional coding note.
"Rio Grande LNG, Texas",United States,Cameron County ,Port of Brownsville ,Liquefaction / export facility,Export / extraction,Broader LNG / environmental justice context,"Global warming; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Groundwater pollution or depletion; Air pollution; Loss of landscape/aesthetic degradation; Other environmental related diseases; Other Health impacts; Loss of livelihood | Land dispossession | Displacement | Loss of traditional knowledge/practices/cultures | Loss of landscape/sense of place",Water / pollution,Indigenous communities; Fishing and coastal communities; Local residents,"NextDecade; Bechtel; Rio Bravo Pipeline Company LLC; TotalEnergies; Global Infrastructure Partners; TEP Barnett USA, LLC; Cameron County Government |",Under construction,strong,contextual,Broader context only,Gulf Coast,Direct LNG case,https://ejatlas.org/conflict/rio-grande-lng-texas,No additional coding note.
"Boca Chica SpaceX Launch Facility, TX, USA",United States,Texas,Boca Chica Village,LNG terminal,Export / extraction,Broader LNG / environmental justice context,"Global warming; Biodiversity loss (wildlife, agro-diversity); Fires; Loss of landscape/aesthetic degradation; Noise pollution; Deforestation and loss of vegetation cover; Air pollution; Other Environmental impacts; Mental problems including stress, depression and suicide; Violations of human rights | Displacement | Land dispossession | Militarization and increased police presence | Loss of traditional knowledge/practices/cultures | Other socio-economic impacts | Lack of access to sacred sites Disturbance of American artifacts and burial sites Loss of beach access for recreation",Water / pollution,Indigenous communities; Fishing and coastal communities; Local residents; Farmers,"SpaceX; Federal Aviation Administration (FAA) State of Texas and state agencies The Federal Energy Regulatory Commission (FERC) U.S. Fish and Wildlife Service (USFWS) Boca Chica State Park, Texas Cameron County, Texas Texas General Land Office Texas Land Commissioner George P. Bush. |",Operating,strong,contextual,Broader context only,Gulf Coast,Broader gas case with LNG linkage,https://ejatlas.org/conflict/brownsville-spacex-launch-facility,No additional coding note.
"Sabine Pass LNG, Lousianna, USA",United States,Lousianna,Cameron,Liquefaction / export facility,Export / extraction,Broader LNG / environmental justice context,"Biodiversity loss (wildlife, agro-diversity); Deforestation and loss of vegetation cover; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Groundwater pollution or depletion; Reduced ecological / hydrological connectivity; Air pollution; Global warming; Loss of landscape/aesthetic degradation; Exposure to unknown or uncertain complex risks (radiation, etc…); Other environmental related diseases; Lack of work security, labour absenteeism, firings, unemployment | Land dispossession | Displacement | Loss of livelihood | Loss of landscape/sense of place",Water / pollution,Indigenous communities; Fishing and coastal communities; Workers; Local residents,Mitsubishi UFG; Cheniere Energy; Export-Import Bank of Korea (KEXIM); Korea Development Bank; Scotiabank; Mizuho Bank; Standard Chartered Bank ; Lloyds Bank; Credit Agricole; Banco Bilbao Vizcaya Argentaria (BBVA); Credit Suisse (CSEIP); HSBC Bank; ING Bank NV; Department of Energy |,Operating,strong,contextual,Broader context only,Gulf Coast,Direct LNG case,https://ejatlas.org/conflict/sabine-pass-lng-lousianna,No additional coding note.
"Baynouna Solar Power Plant and Sun-for-Water deal with Israel, Jordan",Jordan,Amman Governate,Amman,LNG terminal,Import / export terminal,Broader LNG / environmental justice context,"Biodiversity loss (wildlife, agro-diversity); Loss of landscape/aesthetic degradation; Air pollution; Loss of traditional knowledge/practices/cultures | Displacement | Lack of work security, labour absenteeism, firings, unemployment | Loss of livelihood | Violations of human rights | Land dispossession | Loss of landscape/sense of place",Water / pollution,Indigenous communities; Workers; Local residents,"Masdar;  International Finance Corporation (of World Bank); Ministry of Energy and Minerals, Jordan |",Operating,medium,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/baynouna-solar-power-plant-and-sun-for-water-deal-with-israel-jordan,No additional coding note.
"Tataouine Solar Power Plant, Tunisia",Tunisia,Tataouine Governate ,Tataouine,Port / logistics hub,Broader gas / LNG context,Broader LNG / environmental justice context,"Loss of landscape/aesthetic degradation; Increase in Corruption/Co-optation of different actors | Land dispossession | Lack of work security, labour absenteeism, firings, unemployment | Loss of landscape/sense of place",Coastal / marine,Workers; Local residents,"Eni group; Entreprise Tunisienne D’Activitiés Pétrolières; Société Tunisienne de l'Eletricité et du Gaz; The Ministry of Industry, Energy and Mines |",Operating,strong,contextual,Contextual case,,Broader gas / EJ case,https://ejatlas.org/conflict/tataouine-solar-power-plant-tunisia,Current live LNG search result appears contextual rather than a clean LNG terminal case.
"Matabari LNG Terminal, Bangladesh",Bangladesh,Chittagong,Cox's Bazar,LNG terminal,Import / export terminal,Broader LNG / environmental justice context,Air pollution; Global warming; Loss of landscape/aesthetic degradation; Reduced ecological / hydrological connectivity; Loss of traditional knowledge/practices/cultures | Loss of landscape/sense of place | Displacement | Loss of livelihood | Land dispossession,Health / air pollution,Fishing and coastal communities; Local residents,"Japan International Cooperation Agency; JERA Co., Inc.; Ministry of Power, Energy and Mineral Resources, Bangladesh |",Under construction,strong,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/matabari-liquid-natural-gas-terminal-bangladesh,No additional coding note.
"Rotterdam Industrial Port, The Netherlands",Netherlands,South Holland,Rotterdam,Port / logistics hub,Broader gas / LNG context,Broader LNG / environmental justice context,Air pollution; Global warming; Other Health impacts,Health / air pollution,Workers; Local residents,Royal Dutch Shell; ExxonMobil Corporation; Air Liquide;  Air Products; Neste Oyj; Gemeenteraad van Rotterdam Dutch Government |,Operating,strong,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/rotterdam-industrial-port-the-netherlands,No additional coding note.
"Corpus Christi LNG facility, Texas, USA",United States,Texas,Gregory,Liquefaction / export facility,Export / extraction,Broader LNG / environmental justice context,Groundwater pollution or depletion; Air pollution; Global warming; Loss of landscape/aesthetic degradation; Accidents; Other environmental related diseases; Loss of landscape/sense of place,Water / pollution,Indigenous communities; Local residents,"Cheniere Energy; Engie; Sumitomo Mitsui Banking Corporation.; Societe Generale; ABN AMRO Capital; Apple Bank for Savings; Banco Bilbao Vizcaya Argentaria (BBVA); Banco de Sabadell Miami; Bank of America; Bank of China; Bank of Nova Scotia; CaixaBank; Canadian Imperial Bank of Commerce; China Merchants Bank; CIT Bank; Citibank; Commonwealth Bank of Australia; Credit Agricole; Credit Industriel et Commercial; Credit Suisse; DBS Bank Ltd; FirstBank; Goldman Sachs Group, Inc.; HSBC Bnk USA; Industrial and Commercial Bank of China; Intesa San Paolo; JP Morgan Chase; KEB Hana Global; KfW Ipex-Bank; Landesbank Baden-Württemberg; Lloyds Bank; Mizuho Bank; Morgan Stanley; The Bank of Tokyo Mitsubishi UFJ; National Australia Bank; Raymond James Bank; Royal Bank of Canada (RBC); Banco Santander; Siemens Financial Services; Standard Chartered Bank ; Korea Development Bank; Wells Fargo; Woori Bank; Texas Commission on Environmental Quality (TCEQ) United States Department of Energy |",Operating,strong,contextual,Broader context only,Gulf Coast,Direct LNG case,https://ejatlas.org/conflict/corpus-christi-lng-facility-texas-usa,No additional coding note.
"LNG Terminals around Calcasieu Lake, Louisiana, USA",United States,Louisiana,Cameron,LNG terminal,Export / extraction,Broader LNG / environmental justice context,"Surface water pollution / Decreasing water (physico-chemical, biological) quality; Air pollution; Biodiversity loss (wildlife, agro-diversity); Global warming; Loss of landscape/aesthetic degradation; Noise pollution; Accidents; Occupational disease and accidents; Other environmental related diseases; Loss of livelihood | Loss of traditional knowledge/practices/cultures | Loss of landscape/sense of place",Water / pollution,Indigenous communities; Fishing and coastal communities; Workers; Local residents,Venture Global; EPA |,Operating,medium,contextual,Broader context only,Gulf Coast,Direct LNG case,https://ejatlas.org/conflict/cameron-calcasieu-lng,No additional coding note.
"The Mphanda Nkuwa Hydropower Project, Mozambique",Mozambique,Tete,Mirinde,Port / logistics hub,Broader gas / LNG context,Broader LNG / environmental justice context,"Biodiversity loss (wildlife, agro-diversity); Floods (river, coastal, mudflow); Loss of landscape/aesthetic degradation; Deforestation and loss of vegetation cover; Large-scale disturbance of hydro and geological systems; Reduced ecological / hydrological connectivity; Malnutrition; Displacement | Lack of work security, labour absenteeism, firings, unemployment | Loss of livelihood | Specific impacts on women | Land dispossession",Water / pollution,Indigenous communities; Fishing and coastal communities; Local residents; Farmers; Women,EDF Renewables ; TotalEnergies; Sumitomo Corporation; The World Bank;  European Investment Bank; European Union ; The Export-Import Bank of China; Ministry of Mineral Resources and Energy |,Planned,strong,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/the-mphanda-nkuwa-hydropower-project-mozambique,No additional coding note.
"Göteborg LNG Terminal, Sweden",Sweden,Västra Götaland,Göteborg,LNG terminal,Import / regasification,Broader LNG / environmental justice context,Global warming; Air pollution,Coastal / marine,Fishing and coastal communities; Local residents,"Swedegas; Royal Vopak; Ministry of Climate and Enterprise, Sweden |",Cancelled / suspended,strong,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/gothenburg-lng-terminal-sweden,No additional coding note.
"Bontang / Badak LNG plant, East Kalimantan, Indonesia",Indonesia,East Kalimantan,Bontang,Port / logistics hub,Export / extraction,Broader LNG / environmental justice context,"Groundwater pollution or depletion; Floods (river, coastal, mudflow); Surface water pollution / Decreasing water (physico-chemical, biological) quality; Noise pollution; Global warming; Loss of landscape/aesthetic degradation; Deforestation and loss of vegetation cover; Air pollution; Displacement | Loss of livelihood | Land dispossession | Loss of traditional knowledge/practices/cultures | Loss of landscape/sense of place",Water / pollution,Indigenous communities; Workers; Local residents; Farmers,Pertamina; TotalEnergies; PT Chiyoda International Indonesia; Mitsubishi Corp.; PT Pupuk Kalimantan Timur (PKT); PT Pertamina Hulu Sanga Sanga (PHSS); PT Patriot Nusantara Aceh (PTA); Chase Manhattan Bank; Bank of Taiwan; Bank Indonesia; Fuji Bank,Operating,medium,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/bontang-lng-plant-borneo-indonesia,No additional coding note.
"Rügen LNG import terminal, Germany",Germany,Germany,Rügen island,LNG terminal,Import / regasification,Direct EU supply / importing infrastructure,"Air pollution; Biodiversity loss (wildlife, agro-diversity); Global warming; Loss of landscape/aesthetic degradation; Noise pollution; Soil contamination; Exposure to unknown or uncertain complex risks (radiation, etc…); Accidents; Loss of livelihood | Land dispossession | Militarization and increased police presence | Loss of landscape/sense of place",Water / pollution,Fishing and coastal communities; Local residents,Deutsche ReGas; - German Bundestag (parliament) - German Ministry of Economics. - German government. |,Under construction,strong,core,Keep in core article,,Direct LNG case,https://ejatlas.org/conflict/germany-builds-up-lng-import-terminals-in-the-port-of-mukran-on-the-eastern-german-island-of-rugen,No additional coding note.
"BP's Tangguh LNG Project, West Papua",Indonesia,West Papua,Not specified clearly in live EJAtlas metadata.,Liquefaction / export facility,Broader gas / LNG context,Broader LNG / environmental justice context,"Food insecurity (crop damage); Air pollution; Biodiversity loss (wildlife, agro-diversity); Global warming; Loss of landscape/aesthetic degradation; Deforestation and loss of vegetation cover; Violence related health impacts (homicides, rape, etc..) ; Deaths; Increase in Corruption/Co-optation of different actors | Increase in violence and crime | Militarization and increased police presence | Land dispossession | Displacement | Violations of human rights",Water / pollution,Indigenous communities; Fishing and coastal communities; Local residents,"PT Pertamina; Atlantic Richfield Company ; Mitsubishi Corporation; INPEX Corporation; China National Offshore Oil Corporation, or CNOOC Group; JX Nippon Oil & Gas Exploration Corp; KG Group; LNG Japan Corporation; British Petroleum; Indonesian Military (TNI) |",Operating,strong,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/human-rights-violations-surrounding-tangguh-lng-project-west-papua,No additional coding note.
"LNG Boom in the Verde Island Passage, Philippines",Philippines,The Verde Island Passage Marine Corridor is situated between Southern Luzon (Batangas) and Mindoro,Verde Island Passage,FSRU,Broader gas / LNG context,Broader LNG / environmental justice context,"Soil erosion; Food insecurity (crop damage); Oil spills; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Global warming; Large-scale disturbance of hydro and geological systems; Air pollution; Biodiversity loss (wildlife, agro-diversity); Floods (river, coastal, mudflow); Loss of landscape/aesthetic degradation; Exposure to unknown or uncertain complex risks (radiation, etc…); Other environmental related diseases; Accidents; Displacement | Lack of work security, labour absenteeism, firings, unemployment | Loss of livelihood | Land dispossession | Loss of landscape/sense of place",Water / pollution,Fishing and coastal communities; Workers; Local residents,"San Miguel Corporation; ATLANTIC GULF & PACIFIC COMPANY; Royal Dutch Shell; Energy World Corporation Limited; Tokyo Gas Co., Ltd; Excelerate Energy Inc; Top line Business Development Corporation; Lopez Holdings Corporation; First Philippine Holdings Corporation; First Gen Corporation; Gen X Energy Pte Ltd; Ayala Coporation; Enex Energy Corporation; Acen Corporation; Batangas Clean Energy Inc; Millennium Energy Inc; PanAsia Energy Inc; Manila Electric Company; Vires Energy; ING Bank NV; Standard Chartered Bank ; Deutsche Bank; JP Morgan Chase; HSBC Bank; Barclays; UBS; DWS Groups; Allianz; Japan Bank for International Corporation (JBIC); Osaka Gas Co., Ltd.; I Squared Capital; BlackRock Financial Management Inc.; Credit Agricole; Schroder Investment Management; DBS Bank Ltd; Credit Suisse; China Banking Coporation; Mizuho Bank; Development Bank of the Philippines; A Brown Company Inc.; KKR & Co. Inc; Top Frontier Investment Holdings Inc; First Pacific Company Ltd; - Philippines President - Department of Energy (DOE) - Philippines Department of Environment and Natural Resources |",Operating,medium,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/lng-boom-in-the-verde-island-passage-2,No additional coding note.
"Woodfibre LNG, Squamish, Canada",Canada,B.C.,"Squamish, BC",Port / logistics hub,Broader gas / LNG context,Broader LNG / environmental justice context,"Biodiversity loss (wildlife, agro-diversity); Genetic contamination; Global warming; Loss of landscape/aesthetic degradation; Air pollution; Noise pollution; Soil contamination; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Groundwater pollution or depletion; Soil erosion; Other environmental related diseases; Accidents; Deaths; Loss of landscape/sense of place",Water / pollution,Fishing and coastal communities; Workers; Local residents,Canadian Government Canadian Department of Energy Environment Canada BC Environmental Assessment Office |,Under construction,strong,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/woodfibre-lng-canada,No additional coding note.
"Le Havre LNG Floating Storage and Regasification Unit, France",France,Normandy ,Bougainville Sud dock - In the port of the city Le Havre ,FSRU,Import / regasification,Direct EU supply / importing infrastructure,"Air pollution; Noise pollution; Loss of landscape/aesthetic degradation; Biodiversity loss (wildlife, agro-diversity); Surface water pollution / Decreasing water (physico-chemical, biological) quality; Soil contamination; Global warming; Accidents; Exposure to unknown or uncertain complex risks (radiation, etc…); Occupational disease and accidents; Mental problems including stress, depression and suicide; Lack of work security, labour absenteeism, firings, unemployment | Militarization and increased police presence | Other socio-economic impacts | -increase of energy prices as LNG is expensive, making it difficult for some households to afford it, and serve their energy needs -exarcebation of inequalities",Health / air pollution,Workers; Local residents,"TotalEnergies LNG Services France; GRTgaz; HAROPA PORT; - Ministry of Ecological Transition - the Seine Maritime préfecture - the Regional Directorate for Environment, Planning and Housing - the intracommunal body LeHavre Seine) |",Operating,strong,core,Keep in core article,,Direct LNG case,https://ejatlas.org/conflict/le-havre-lng-floating-storage-and-regasification-unit-france,No additional coding note.
"NextDecade Liquid Natural Gas (LNG) Terminal, Cork, Ireland",Ireland,Munster,Cork,LNG terminal,Import / regasification,Direct EU supply / importing infrastructure,"Air pollution; Global warming; Loss of landscape/aesthetic degradation; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Loss of landscape/sense of place | Land dispossession",Health / air pollution,Local residents,"NextDecade; Ministry for Communications, Climate Change and the Environment |",Cancelled / suspended,unknown,core,Keep in core article,,Direct LNG case,https://ejatlas.org/conflict/nextdecade-liquid-natural-gas-lng-terminal-cork-ireland,No additional coding note.
"LNG Shannon terminal, Ireland",Ireland,County Kerry ,South West Ireland – near Ballylongford and Tarbert,LNG terminal,Import / regasification,Direct EU supply / importing infrastructure,"Biodiversity loss (wildlife, agro-diversity); Deforestation and loss of vegetation cover; Other Environmental impacts; Global warming; Accidents; Other socio-economic impacts | Increase in Corruption/Co-optation of different actors | Loss of landscape/sense of place | Potential impacts on local livelihoods, increased energy poverty",Health / air pollution,Local residents; Farmers,Shannon LNG Ltd. ; New Fortress Energy; Hess Corporation; Poten & Partners; Ervia; European Union - PCI list Irish Government - Strategic Infrastructure Act Irish Commission for Energy Regulation of Ireland (CER) An Bord Pleanala (Ireland’s national planning board) |,Cancelled / suspended,strong,core,Keep in core article,,Direct LNG case,https://ejatlas.org/conflict/lng-shannon-terminal,No additional coding note.
"The Kariba REDD+ Project, Zimbabwe",Zimbabwe,"Matabeleland North, Midlands, Mashonaland West, and Mashonaland Central","Hurungwe, Mbire, Nyaminyami and Binga ",Port / logistics hub,Broader gas / LNG context,Broader LNG / environmental justice context,"Mental problems including stress, depression and suicide; Increase in Corruption/Co-optation of different actors | Displacement | Loss of livelihood | Loss of traditional knowledge/practices/cultures | Militarization and increased police presence",Water / pollution,Indigenous communities; Fishing and coastal communities; Local residents; Farmers; Women; Migrant workers,"Verra; TotalEnergies; Black Crystal Consulting; Carbon Green Africa; NatureOffice GmbH ; Carbon Green Investments; Volkswagen; Delta Air Lines; McKinsey & Company; Gucci; Lidl; Greenchoice Energy; Poseidon Sustainability Ltd; Nestlé; Stand For Trees; Porsche ; impactChoice; Takeda Pharmaceutical Company; L'Oreal SA; Luigi Lavazza S.p.A.; Booking.com; Cannes Film Festival; Environment Africa; Bayer; South Pole Carbon Asset Management; Ernst & Young Global Limited; Barclays ; Adyen N.V.; - Local Rural District Councils of Hurungwe, Mbire, Nyaminyami and Binga - Government of Zimbabwe |",Operating,medium,contextual,Broader context only,,Broader gas case with LNG linkage,https://ejatlas.org/conflict/the-kariba-redd-project-in-zimbabwe,No additional coding note.
"Liquefied Natural Gas Project, Papua New Guinea",Papua New Guinea,Southern Highlands and Western Provinces,Not specified clearly in live EJAtlas metadata.,Liquefaction / export facility,Broader gas / LNG context,Broader LNG / environmental justice context,"Air pollution; Desertification/Drought; Fires; Food insecurity (crop damage); Loss of landscape/aesthetic degradation; Soil erosion; Oil spills; Groundwater pollution or depletion; Large-scale disturbance of hydro and geological systems; Reduced ecological / hydrological connectivity; Biodiversity loss (wildlife, agro-diversity); Floods (river, coastal, mudflow); Global warming; Deforestation and loss of vegetation cover; Surface water pollution / Decreasing water (physico-chemical, biological) quality; Malnutrition; Mental problems including stress, depression and suicide; Violence related health impacts (homicides, rape, etc..) ; Health problems related to alcoholism, prostitution; Occupational disease and accidents; Accidents; Deaths; Increase in violence and crime | Lack of work security, labour absenteeism, firings, unemployment | Loss of livelihood | Loss of traditional knowledge/practices/cultures | Militarization and increased police presence | Social problems (alcoholism, prostitution, etc..) | Specific impacts on women | Violations of human rights | Loss of landscape/sense of place | Displacement | Land dispossession | Increase in Corruption/Co-optation of different actors",Health / air pollution,Indigenous communities; Workers; Local residents,"Esso Highlands Ltd; ExxonMobil Corporation; Oil Search Ltd; Santos Ltd; JX Nippon Oil & Gas Exploration Corp; Government of the State of PNG; TotalEnergies; Export Credit Agency of Italy; Export-Import Bank of the United States; Export-Import Bank of China; Japan Bank for International Corporation; Export Finance Australia; International Petroleum Investment Company; UBS; National Government, Departments of Petroleum and Energy and Commerce and Industry, The Australian government has helped finance the project through its largest ever export credit loan. | [object Object],[object Object],[object Object]",Under construction,weak,contextual,Broader context only,,Direct LNG case,https://ejatlas.org/conflict/liquefied-natural-gas-project-papua-new-guinea,No additional coding note.
